ID,ID LATTES,ORIENTAÇÕES CONC. TCC,ORIENTACOES CONC. ESPECIALIZACAO,O.P MESTRADO CONC.,O.P MESTRADO AND.,O.P DOUTORADO CONC.,O.P DOUTORADO AND.,C.O MESTRADO CONC.,C.O MESTRADO AND.,C.O DOUTORADO CONC.,C.O DOUTORADO AND.,BOLSA PRODUTIVIDADE,PUB. TEC. E ART.,LIVROS ISBN,CAPÍTULOS ISBN,PUB. TRAB. EVENTOS,PATENTES,REGISTROS DE SW,ORIENTAÇÕES I.C,EVENTOS ORGANIZADOS,PUBLICAÇÕES CIENTÍFICAS,PI,Obs,Grande Área,Titulação,Unidade
335,5055727404635243,9,0,7,6,3,1,0,0,2,0,1,3,0,5,22,0,5,6,3,43,"462,39",,Ciências Exatas e da Terra,Campus Caruaru,Campus Caruaru
336,41523508084114,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,6,"48,74",,Ciências da Saúde,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
337,1963776038181833,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,Ciências Sociais Aplicadas,Campus Arcoverde,Campus Arcoverde
338,2436263188968608,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,2,0,2,"23,9",,Ciências Exatas e da Terra,Campus Caruaru,Campus Caruaru
339,176106507905120,1,0,0,0,0,0,1,1,0,1,,7,3,14,0,0,0,35,0,43,"378,83",,Ciências da Saúde,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
340,7220626299968343,1,0,6,3,12,8,1,0,2,1,1,11,1,7,1,0,0,13,1,66,"583,98",,Ciências da Saúde,Campus Petrolina,Campus Petrolina
341,110918601799246,11,2,6,1,1,3,0,0,0,0,,0,1,1,0,0,0,6,4,14,"200,41",,Ciências da Saúde,Campus Petrolina,Campus Petrolina
342,1917884759484094,6,0,0,0,0,0,0,0,0,0,,2,0,1,1,0,0,1,2,3,"33,15",,Ciências Exatas e da Terra,Campus Garanhuns,Campus Garanhuns
343,8436058094072738,9,0,13,4,0,3,0,1,0,0,,2,1,6,0,0,0,1,3,22,"265,91",,Ciências Humanas,Campus Petrolina,Campus Petrolina
344,6914793484046355,21,0,0,0,0,0,0,0,0,0,,0,0,0,4,0,0,2,0,4,"102,76",,Engenharias,Escola Politécnica de Pernambuco,Escola Politécnica de Pernambuco
